"respondent","sex","birth_year","city_size","employment","workplace","profession","addtl_income","education","hh_size","adults_hh","country_direction","country_change","economic_situation","political_situation","economy_change","next_election","future_vote","attitude_Kopacz","hh_finances","future_finances","politics_interest","political_views","past_election","past_vote","religious_participation","marital_status","monthly_income","DATE","weight","married","ed_level","urban_rural","mean_income","future_vote_agg","past_vote_agg","policies_improve_economic","Satisfied_democracy","Attitude_Americans","Attitude_English","Attitude_Austrians","Attitude_French","Attitude_Greeks","Attitude_Spaniards","Attitude_Japanese","Attitude_Germans","Attitude_Russians","Attitude_Swiss","Relations_Germany","Relations_Russia","Residence","Length_residence","LD","survey_month","after_shock","Nov_Dec_issue","new_Nov","new_Jan","treatment","gov_intervene","proposal_support","FXloan","repayFXloan","loan_type1","loan_type2","loan_type3","loan_type4","loan_EUR","loan_CHF","loan_USD","loan_currency1","loan_currency2","loan_currency3","loan_currency4","know_FXborrower","parliament_election","parliament_vote","province","monthly_incPC","parliament_vote_agg","chfd_r","chfd_e","new_Oct15","month","monthyear","monthyear2","past.vote","vote.intent","turnout.intent","know_FXborrower_original","incumbent.intent","past.turnout","past.incumbent","incumbent.defector","employed","treat","immigration.outofcontrol","immigration.crime","immigration.takejobs","immigration.uneasy","immigration.disease","immigration.loyalty","immigration.worse","immigration.loyalty2","immigration.culture"
"6399",1251,2,1971,2,3,2,6,3,4,2,1,2,3,5,4,4,NA,NA,2.5,1,4,5,97,2,NA,4,3,31,2015-10-12,0.695212662335948,0,2,2,1650,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Some intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly not take part in it",NA,"Opolskie","From PLN 650 to 999",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,"No","No","No","No","No","No","TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6400",1252,2,1960,2,4,NA,13,3,2,1,1,1,3,2,4,3,NA,NA,2.5,3,4,4,97,7,NA,2,3,11,2015-10-12,0.852949267684944,0,1,2,500,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Do not intervene"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Opolskie","From PLN 650 to 999",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,NA,"No",NA,NA,"No",NA,"FALSE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6401",1256,2,1992,2,2,2,6,3,7,4,4,2,3,3,3,3,NA,NA,2.5,4,3,5,97,2,NA,2,1,31,2015-10-12,0.51956033487325,0,2,2,1650,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly not take part in it",NA,"Opolskie","Don’t know",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,"No","No","No","No","No","No","TRUE","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6402",1259,2,1958,1,4,NA,15,3,4,2,2,2,3,3,4,3,NA,NA,2.5,4,3,3,4,1,97,2,2,0,2015-10-12,0.606421621698889,1,2,1,0,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Big intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Podkarpackie","From PLN 1,000 to 1,399",2,0,0,1,"Oct",Oct 2015,2015-10-01,"other","PORP","Yes","No","Yes","Yes","No","No","FALSE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6403",1260,1,1948,1,4,NA,13,3,2,1,1,2,2,3,2,7,NA,NA,4,3,3,5,6,7,NA,2,1,11,2015-10-09,0.848356713938074,0,1,1,500,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Not sure/don’t know"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Podkarpackie","From PLN 650 to 999",1,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"PiS","Yes","No","No",NA,"No","No","FALSE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6404",1261,2,1994,1,1,1,4,3,6,3,3,2,3,3,4,3,NA,NA,2,4,3,3,6,2,NA,2,1,21,2015-10-12,0.538297192427287,0,3,1,1200,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Podkarpackie","From PLN 650 to 999",1,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"PiS","Yes","No","No","No","No","No","TRUE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6405",1283,2,1984,1,4,NA,15,3,8,3,2,7,3,3,3,3,NA,NA,2.5,3,3,4,97,1,7,2,1,31,2015-10-12,1.26899936676739,0,2,1,1650,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Not sure/don’t know","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Slaskie","From PLN 1,400 to 1,999",NA,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP",NA,NA,"No",NA,"Yes","Yes",NA,"FALSE","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6406",1284,2,1981,1,1,3,5,3,4,3,2,7,3,3,3,3,NA,NA,2,3,5,3,5,2,NA,4,2,41,2015-10-12,1.06856285493558,1,2,1,2250,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Some intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","Yes","Yes",NA,"Family",NA,NA,NA,"Swiss franc",NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Slaskie","2,000 PLN and more",NA,1,1,1,"Oct",Oct 2015,2015-10-01,NA,NA,NA,"Yes",NA,"No","No",NA,"TRUE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6407",1289,1,1974,4,4,NA,12,3,4,1,1,2,2,5,5,3,NA,NA,2,2,2,3,7,1,7,1,1,21,2015-10-12,1.29863917691364,0,2,2,1200,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Big intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Wielkopolskie","From PLN 1,400 to 1,999",2,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","No","Yes","Yes","Yes","No","FALSE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6408",1291,2,1954,4,4,NA,13,3,11,1,1,1,3,3,4,3,NA,NA,2,3,3,4,4,1,7,2,2,41,2015-10-12,0.649639925659763,1,4,2,2250,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Do not intervene","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Wielkopolskie","2,000 PLN and more",2,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","No","Yes","Yes","Yes","No","FALSE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6409",1293,2,1951,1,4,NA,12,3,4,2,2,1,3,3,7,3,NA,NA,4,3,3,3,5,1,97,2,2,11,2015-10-12,0.606421621698889,1,2,1,500,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Big intervention","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Podkarpackie","From PLN 650 to 999",1,0,0,1,"Oct",Oct 2015,2015-10-01,"other","PiS","Yes","No","No","Yes","No","No","FALSE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6410",1295,1,1980,1,1,3,6,3,2,4,2,2,2,4,2,2,NA,NA,4,4,5,3,5,2,NA,2,2,NA,2015-10-12,1.21079895703714,1,1,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","PiS","Podkarpackie","Don’t know",1,0,1,1,"Oct",Oct 2015,2015-10-01,NA,"PiS","Yes","Yes","No","No","No","No","TRUE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6411",1297,2,1955,1,1,4,9,3,2,4,3,2,3,4,4,3,NA,NA,2.5,3,4,3,4,2,NA,2,2,11,2015-10-12,1.00687301038138,1,1,1,500,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly not take part in it",NA,"Podkarpackie","Up to PLN 649",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,"No","No","No","No","No","No","TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6412",1298,1,1938,1,4,NA,13,3,4,3,3,2,2,2,3,2,NA,NA,2.5,3,3,5,4,7,NA,3,2,NA,2015-10-12,0.582161996607338,1,2,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Big intervention"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Podkarpackie",NA,2,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"PORP","Yes","No","Yes",NA,"No","No","FALSE","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6413",1301,2,1953,1,4,NA,12,3,2,4,4,7,3,3,2,2,NA,NA,3,3,4,3,4,2,NA,2,2,11,2015-10-12,0.883709100290973,1,1,1,500,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Not sure/don’t know"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Podkarpackie","Up to PLN 649",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,NA,"No",NA,"No","No",NA,"FALSE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6414",1302,2,1966,5,1,3,3,3,9,3,3,2,3,3,3,4,NA,NA,3,4,3,4,4,2,NA,2,2,21,2015-10-12,0.86805456573836,1,4,3,1200,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Some intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","Don’t know/not sure","Malopolskie","2,000 PLN and more",3,0,1,1,"Oct",Oct 2015,2015-10-01,NA,"other","Yes","Yes","No","No","No","No","TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6415",1303,1,1992,5,4,NA,16,2,8,5,4,2,4,3,5,3,NA,NA,7,2,3,4,4,1,NA,2,1,0,2015-10-12,1.0671225164623,0,2,3,0,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Do not intervene","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Malopolskie","Don’t know",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,NA,"No",NA,"Yes","No",NA,"FALSE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6416",1304,2,1992,1,1,1,2,2,10,7,6,1,3,3,3,3,NA,NA,2.5,3,3,4,4,2,NA,2,1,31,2015-10-12,0.779069273874504,0,4,1,1650,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Some intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","Nowoczesna Ryszarda Petru","Mazowieckie","Up to PLN 649",3,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"other","Yes","No","No","No","No","No","TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6417",1306,1,1944,5,4,NA,13,3,10,4,4,1,2,3,4,2,NA,NA,2,3,3,3,2,1,7,5,2,31,2015-10-12,0.688126614873472,1,4,3,1650,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Do not intervene","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","Zjednoczona Lewica","Kujawsko-pomorskie","From PLN 1,000 to 1,399",3,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","other","Yes","No","No","Yes","Yes","Yes","FALSE","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6418",1309,1,1990,5,1,2,2,3,10,3,3,1,2,3,3,2,NA,NA,7,4,3,5,97,1,7,2,1,NA,2015-10-12,1.30018199608556,0,4,3,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Do not intervene","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Slaskie",NA,NA,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP",NA,NA,"No",NA,"Yes","Yes",NA,"TRUE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6419",1310,2,1975,5,4,NA,14,2,8,4,1,1,3,3,4,3,NA,NA,2,3,3,3,6,1,7,4,3,NA,2015-10-12,0.749186562098256,0,2,3,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","po","Slaskie",NA,2,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","Yes","Yes","Yes","Yes","No","FALSE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6420",1312,1,1996,3,4,NA,11,3,3,5,4,2,3,3,3,3,NA,NA,4,4,3,4,7,9,NA,2,1,0,2015-10-12,2.01026366877322,0,1,2,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","KORWiN","Lubelskie",NA,3,0,1,1,"Oct",Oct 2015,2015-10-01,NA,"other","Yes","Yes","No","No",NA,NA,"FALSE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6421",1313,2,1981,3,1,3,2,2,11,5,2,1,4,2,4,2,NA,NA,3,4,4,1,4,1,97,2,2,NA,2015-10-12,1.37570986741051,1,4,2,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Some intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","Zjednoczona Lewica","Lubelskie",NA,3,0,1,1,"Oct",Oct 2015,2015-10-01,"other","other","Yes","Yes","No","Yes","No","No","TRUE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6422",1314,1,1947,6,4,NA,13,3,10,2,2,1,3,3,3,2,NA,NA,2,3,3,3,4,1,7,3,2,31,2015-10-12,0.730771563579266,1,4,3,1650,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","Nowoczesna Ryszarda Petru","Malopolskie","From PLN 1,400 to 1,999",3,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","other","Yes","No","No","Yes","Yes","Yes","FALSE","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6423",1316,2,1972,6,1,1,2,3,11,6,2,1,3,3,4,3,NA,NA,2,3,3,4,4,1,7,2,2,41,2015-10-12,0.904152293340081,1,4,3,2250,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Malopolskie","From PLN 650 to 999",NA,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP",NA,NA,"No",NA,"Yes","Yes",NA,"TRUE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6424",1317,2,1974,6,2,1,4,2,11,4,2,2,4,4,4,3,NA,NA,2,4,4,3,4,1,7,4,1,31,2015-10-12,0.904152293340081,0,4,3,1650,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Malopolskie","From PLN 1,000 to 1,399",2,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","No","Yes","Yes","Yes","No","TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6425",1321,2,1947,1,4,NA,13,3,4,1,1,1,3,3,3,4,NA,NA,2,4,3,3,97,7,NA,1,4,21,2015-10-12,0.504673223875481,0,2,1,1200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","Don’t know/not sure","Podkarpackie","From PLN 1,000 to 1,399",3,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"other","Yes","No","No",NA,"No","No","FALSE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6426",1322,1,1957,1,1,1,6,3,4,3,3,7,2,2,2,2,NA,NA,2,1,3,3,3,1,1,2,2,41,2015-10-12,0.550486554641191,1,2,1,2250,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Big intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Podkarpackie","From PLN 1,000 to 1,399",NA,0,0,1,"Oct",Oct 2015,2015-10-01,"PiS",NA,NA,"No",NA,"Yes","No",NA,"TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6427",1325,2,1966,1,1,4,9,3,4,3,3,2,3,4,7,7,NA,NA,3,4,3,3,97,1,1,2,2,11,2015-10-12,0.994436677358452,1,2,1,500,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Do not intervene","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","PiS","Podkarpackie","Up to PLN 649",1,0,1,1,"Oct",Oct 2015,2015-10-01,"PiS","PiS","Yes","Yes","No","Yes","No","No","TRUE","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6428",1326,1,1945,1,4,NA,13,3,6,4,4,2,7,3,7,7,NA,NA,4,4,4,5,97,2,NA,1,2,21,2015-10-12,0.544056037202254,1,3,1,1200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Big intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Podkarpackie","Don’t know",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,NA,"No",NA,"No","No",NA,"FALSE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6429",1333,2,1962,1,1,3,5,3,4,4,3,1,2,2,2,3,NA,NA,2,5,4,3,97,7,NA,2,2,41,2015-10-12,0.798085122474173,1,2,1,2250,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Big intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","Don’t know/not sure","Pomorskie","From PLN 650 to 999",3,0,1,1,"Oct",Oct 2015,2015-10-01,NA,"other","Yes","Yes","No",NA,"No","No","TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6430",1335,1,1994,1,1,3,6,3,4,4,4,2,5,4,5,3,NA,NA,4,3,2,2,2,9,NA,4,1,11,2015-10-12,0.772066881422968,0,2,1,500,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","Zjednoczona Lewica","Pomorskie","Don’t know",3,0,1,1,"Oct",Oct 2015,2015-10-01,NA,"other","Yes","Yes","No","No",NA,NA,"TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6431",1336,2,1991,1,4,NA,11,3,10,3,3,1,3,3,3,3,NA,NA,3,4,4,5,97,2,NA,4,1,0,2015-10-12,0.740783589509866,0,4,1,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly not take part in it",NA,"Pomorskie","Don’t know",NA,0,1,1,"Oct",Oct 2015,2015-10-01,NA,NA,"No","Yes","No","No","No","No","FALSE","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6432",1338,1,1994,6,4,NA,11,3,6,4,4,1,7,3,4,7,NA,NA,3,4,3,3,4,7,NA,5,1,0,2015-10-12,1.14331202181846,0,3,3,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Some intervention","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I will certainly take part in it","po","Lódzkie","From PLN 1,000 to 1,399",2,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"PORP","Yes","Don’t know/not sure","Yes",NA,"No","No","FALSE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6433",1344,1,1985,6,1,3,4,3,11,3,3,1,3,2,3,3,NA,NA,2,4,4,2,4,1,7,3,2,51,2015-10-12,1.39987370635323,1,4,3,2600,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","Nowoczesna Ryszarda Petru","Malopolskie","Don’t know",3,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","other","Yes","Yes","No","Yes","Yes","Yes","TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6434",1345,1,1981,6,4,NA,16,2,11,4,2,1,3,2,2,2,NA,NA,2,4,4,2,3,1,7,3,2,51,2015-10-12,1.77889537471726,1,4,3,2600,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","psl","Malopolskie","2,000 PLN and more",3,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","other","Yes","Yes","Yes","Yes","Yes","No","FALSE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6435",1346,2,1972,6,1,1,2,1,11,1,1,7,3,3,3,3,NA,NA,2,4,3,3,4,7,NA,2,1,51,2015-10-12,0.904152293340081,0,4,3,2600,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","Zjednoczona Lewica","Malopolskie","2,000 PLN and more",3,0,1,1,"Oct",Oct 2015,2015-10-01,NA,"other","Yes","Yes","No",NA,"No","No","TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
